arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2502.15367,Advancing User-Voice Interaction: Exploring Emotion-Aware Voice Assistants Through a Role-Swapping Approach,"Yong Ma, Yuchong Zhang, Di Fu, Stephanie Zubicueta Portales, Danica Kragic, Morten Fjeld","19 pages, 6 figures",,Human-Computer Interaction (cs.HC); Sound (cs.SD); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.15367,https://arxiv.org/pdf/2502.15367,https://arxiv.org/html/2502.15367v1,https://arxiv.org/format/2502.15367
arXiv:2502.15425,TAG: A Decentralized Framework for Multi-Agent Hierarchical Reinforcement Learning,"Giuseppe Paolo, Abdelhakim Benechehab, Hamza Cherkaoui, Albert Thomas, Balázs Kégl",,,Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15425,https://arxiv.org/pdf/2502.15425,https://arxiv.org/html/2502.15425v4,https://arxiv.org/format/2502.15425
arXiv:2502.15472,Aligning Task- and Reconstruction-Oriented Communications for Edge Intelligence,"Yufeng Diao, Yichi Zhang, Changyang She, Philip Guodong Zhao, Emma Liying Li",Accepted for publication in IEEE Journal on Selected Areas in Communications (JSAC),,Information Theory (cs.IT); Computer Vision and Pattern Recognition (cs.CV); Image and Video Processing (eess.IV),https://arxiv.org/abs/2502.15472,https://arxiv.org/pdf/2502.15472,https://arxiv.org/html/2502.15472v1,https://arxiv.org/format/2502.15472
arXiv:2502.15481,FaultGPT: Industrial Fault Diagnosis Question Answering System by Vision Language Models,"Jiao Chen, Ruyi Huang, Zuohong Lv, Jianhua Tang, Weihua Li",,,Emerging Technologies (cs.ET); Signal Processing (eess.SP),https://arxiv.org/abs/2502.15481,https://arxiv.org/pdf/2502.15481,https://arxiv.org/html/2502.15481v1,https://arxiv.org/format/2502.15481
arXiv:2502.15491,Network Resource Optimization for ML-Based UAV Condition Monitoring with Vibration Analysis,"Alexandre Gemayel, Dimitrios Michael Manias, Abdallah Shami",Accepted for publication in IEEE Networking Letters,,Machine Learning (cs.LG); Networking and Internet Architecture (cs.NI); Signal Processing (eess.SP); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15491,https://arxiv.org/pdf/2502.15491,https://arxiv.org/html/2502.15491v1,https://arxiv.org/format/2502.15491
arXiv:2502.15545,Estimating Vehicle Speed on Roadways Using RNNs and Transformers: A Video-based Approach,"Sai Krishna Reddy Mareddy, Dhanush Upplapati, Dhanush Kumar Antharam",,,Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Image and Video Processing (eess.IV),https://arxiv.org/abs/2502.15545,https://arxiv.org/pdf/2502.15545,https://arxiv.org/html/2502.15545v1,https://arxiv.org/format/2502.15545
arXiv:2502.15562,Autonomous helicopter aerial refueling: controller design and performance guarantees,"Damsara Jayarathne, Santiago Paternain, Sandipan Mishra",,,Robotics (cs.RO); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15562,https://arxiv.org/pdf/2502.15562,https://arxiv.org/html/2502.15562v1,https://arxiv.org/format/2502.15562
arXiv:2502.15565,Benefits of Mutual Coupling in Dynamic Metasurface Antennas for Optimizing Wireless Communications -- Theory and Experimental Validation,"Hugo Prod'homme, Jean Tapie, Luc Le Magoarou, Philipp del Hougne","13 pages, 7 figures, submitted to an IEEE Journal",,Applied Physics (physics.app-ph); Information Theory (cs.IT); Signal Processing (eess.SP),https://arxiv.org/abs/2502.15565,https://arxiv.org/pdf/2502.15565,https://arxiv.org/html/2502.15565v2,https://arxiv.org/format/2502.15565
arXiv:2502.15602,KAD: No More FAD! An Effective and Efficient Evaluation Metric for Audio Generation,"Yoonjin Chung, Pilsun Eu, Junwon Lee, Keunwoo Choi, Juhan Nam, Ben Sangbae Chon",,,Sound (cs.SD); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.15602,https://arxiv.org/pdf/2502.15602,https://arxiv.org/html/2502.15602v2,https://arxiv.org/format/2502.15602
arXiv:2502.15607,Benchmarking machine learning for bowel sound pattern classification from tabular features to pretrained models,"Zahra Mansour, Verena Uslar, Dirk Weyhe, Danilo Hollosi, Nils Strodthoff","9 pages, 6 figures and 1 table",,Sound (cs.SD); Machine Learning (cs.LG); Audio and Speech Processing (eess.AS); Signal Processing (eess.SP),https://arxiv.org/abs/2502.15607,https://arxiv.org/pdf/2502.15607,https://arxiv.org/html/2502.15607v1,https://arxiv.org/format/2502.15607
arXiv:2502.15632,Continual Person Identification using Footstep-Induced Floor Vibrations on Heterogeneous Floor Structures,"Yiwen Dong, Hae Young Noh",,"Mechanical Systems and Signal Processing, 2023",Computer Vision and Pattern Recognition (cs.CV); Signal Processing (eess.SP); Applied Physics (physics.app-ph),https://arxiv.org/abs/2502.15632,https://arxiv.org/pdf/2502.15632,https://arxiv.org/html/2502.15632v1,https://arxiv.org/format/2502.15632
