arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2501.02120,"Snakes on a Plane: mobile, low dimensional logical qubits on a 2D surface","Adam Siegel, Zhenyu Cai, Hamza Jnane, Balint Koczor, Shaun Pexton, Armands Strikis, Simon Benjamin","27 pages, 23 figures",,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.02120,https://arxiv.org/pdf/2501.02120,https://arxiv.org/html/2501.02120v1,https://arxiv.org/format/2501.02120
arXiv:2501.02125,Spontaneous Unitarity Violation and Quantum State Reduction,Dakshansh Chawda,,,Quantum Physics (quant-ph); History and Philosophy of Physics (physics.hist-ph),https://arxiv.org/abs/2501.02125,https://arxiv.org/pdf/2501.02125,https://arxiv.org/html/2501.02125v1,https://arxiv.org/format/2501.02125
arXiv:2501.02141,Fast and Accurate Method for Doppler Averaging of Rydberg EIT Signals,"Omar Nagib, Thad G. Walker","2 pages, 1 figure, conference paper (proceedings of the National Radio Science Meeting 2025)","2025 United States National Committee of URSI National Radio Science Meeting (USNC-URSI NRSM), Boulder, CO, USA, 2025, pp. 8-9",Quantum Physics (quant-ph),https://arxiv.org/abs/2501.02141,https://arxiv.org/pdf/2501.02141,https://arxiv.org/html/2501.02141v1,https://arxiv.org/format/2501.02141
arXiv:2501.02148,"Bit-bit encoding, optimizer-free training and sub-net initialization: techniques for scalable quantum machine learning",Sonika Johri,Added references,,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.02148,https://arxiv.org/pdf/2501.02148,https://arxiv.org/html/2501.02148v2,https://arxiv.org/format/2501.02148
arXiv:2501.02222,A Toffoli Gate Decomposition via Echoed Cross-Resonance Gates,M. AbuGhanem,,,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.02222,https://arxiv.org/pdf/2501.02222,https://arxiv.org/html/2501.02222v1,https://arxiv.org/format/2501.02222
arXiv:2501.02248,Enhanced Atom-by-Atom Assembly of Defect-Free Two-Dimensional Mixed-Species Atomic Arrays,"Ming-Rui Wei, Kun-Peng Wang, Jia-Yi Hou, Yi Chen, Peng Xu, Jun Zhuang, Rui-Jun Guo, Min Liu, Jin Wang, Xiao-Dong He, Ming-Sheng Zhan","8 pages, 5 figures",,Quantum Physics (quant-ph); Atomic Physics (physics.atom-ph),https://arxiv.org/abs/2501.02248,https://arxiv.org/pdf/2501.02248,https://arxiv.org/html/2501.02248v2,https://arxiv.org/format/2501.02248
arXiv:2501.02387,Fast Mølmer-Sørensen gates in trapped-ion quantum processors with compensated carrier transition,"Evgeny Anikin, Andrey Chuchalin, Nikita Morozov, Olga Lakhmanskaya, Kirill Lakhmanskiy",,,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.02387,https://arxiv.org/pdf/2501.02387,https://arxiv.org/html/2501.02387v2,https://arxiv.org/format/2501.02387
arXiv:2501.02405,Sub-Poissonian Light in a Waveguide Kerr-medium,"R. Singh, A. E. Teretenkov, A. V. Masalov",,,Quantum Physics (quant-ph); Optics (physics.optics),https://arxiv.org/abs/2501.02405,https://arxiv.org/pdf/2501.02405,https://arxiv.org/html/2501.02405v1,https://arxiv.org/format/2501.02405
arXiv:2501.02462,Floquet engineering in hybrid magnetic quantum systems,"Feng-Zhou Ji, Si-Yuan Bai, Wan-Li Yang, Chun-Jie Yang, Jun-Hong An",,,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.02462,https://arxiv.org/pdf/2501.02462,https://arxiv.org/html/2501.02462v1,https://arxiv.org/format/2501.02462
arXiv:2501.02472,Photon Blockade in Cavity Magnomechanical Systems using Phase-Controlled Feedback,"Mounes Eslami, Kurosh Javidan","11 pages, 7 figures,",,Quantum Physics (quant-ph); Optics (physics.optics),https://arxiv.org/abs/2501.02472,https://arxiv.org/pdf/2501.02472,https://arxiv.org/html/2501.02472v1,https://arxiv.org/format/2501.02472
arXiv:2501.02495,Quantum noise in time-dependent media and cosmic expansion,"Ziv Landau, Ulf Leonhardt",,"Phys. Rev. B 110, 224202 (2024)",Quantum Physics (quant-ph); General Relativity and Quantum Cosmology (gr-qc),https://arxiv.org/abs/2501.02495,https://arxiv.org/pdf/2501.02495,https://arxiv.org/html/2501.02495v1,https://arxiv.org/format/2501.02495
arXiv:2501.02513,Linear Optics to Scalable Photonic Quantum Computing,"Dennis Delali Kwesi Wayo, Leonardo Goliatt, Darvish Ganji",,,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.02513,https://arxiv.org/pdf/2501.02513,https://arxiv.org/html/2501.02513v1,https://arxiv.org/format/2501.02513
arXiv:2501.02582,Carleman-lattice-Boltzmann quantum circuit with matrix access oracles,"Claudio Sanavio, William A. Simon, Alexis Ralli, Peter Love, Sauro Succi","11 pages, 8 figures",,Quantum Physics (quant-ph); Computational Physics (physics.comp-ph),https://arxiv.org/abs/2501.02582,https://arxiv.org/pdf/2501.02582,,https://arxiv.org/format/2501.02582
arXiv:2501.02681,Quest for quantum advantage: Monte Carlo wave-function simulations of the Coherent Ising Machine,"Manushan Thenabadu, Run Yan Teh, Jia Wang, Simon Kiesewetter, Margaret D Reid, Peter D Drummond",10 pages,,Quantum Physics (quant-ph); Mathematical Physics (math-ph),https://arxiv.org/abs/2501.02681,https://arxiv.org/pdf/2501.02681,https://arxiv.org/html/2501.02681v1,https://arxiv.org/format/2501.02681
arXiv:2501.02687,Improving Quantum Machine Learning via Heat-Bath Algorithmic Cooling,"Nayeli A. Rodríguez-Briones, Daniel K. Park","17 pages, 7 figures",,Quantum Physics (quant-ph); Machine Learning (cs.LG),https://arxiv.org/abs/2501.02687,https://arxiv.org/pdf/2501.02687,https://arxiv.org/html/2501.02687v1,https://arxiv.org/format/2501.02687
arXiv:2501.02757,Encrypted Qubits can be Cloned,"Koji Yamaguchi, Achim Kempf","13 pages, 1 figure",,Quantum Physics (quant-ph); General Relativity and Quantum Cosmology (gr-qc); Mathematical Physics (math-ph),https://arxiv.org/abs/2501.02757,https://arxiv.org/pdf/2501.02757,,https://arxiv.org/format/2501.02757
